?јдр;«нчн;IP;CR;AR;DR;SP;BR;AC;;NZVC;јдр;«нчн
26F;200;26F;0;0;0;0;0;0;;100;;
26F;200;270;200;26F;200;0;026F;0;;100;;
270;EE18;271;EE18;289;0;0;18;0;;100;289;0
271;AE14;272;AE14;286;345;0;14;345;;0;;
272;0C00;273;0C00;7FF;345;7FF;272;345;;0;7FF;345
273;D666;666;D666;7FE;274;7FE;D666;345;;0;7FE;274
666;AC01;667;AC01;7FF;345;7FE;1;345;;0;;
667;F303;66B;F303;667;F303;7FE;3;345;;0;;
66B;500;66C;500;66B;345;7FE;066B;068A;;0;;
66C;500;66D;500;66C;068A;7FE;066C;0D14;;0;;
66D;4C01;66E;4C01;7FF;345;7FE;1;1059;;0;;
66E;4E05;66F;4E05;674;61;7FE;5;10BA;;0;;
66F;CE01;671;CE01;66F;671;7FE;1;10BA;;0;;
671;EC01;672;EC01;7FF;10BA;7FE;1;10BA;;0;7FF;10BA
672;0A00;274;0A00;7FE;274;7FF;672;10BA;;0;;
274;800;275;800;7FF;10BA;0;274;10BA;;0;;
275;6E13;276;6E13;289;0;0;13;10BA;;1;;
276;EE12;277;EE12;289;10BA;0;12;10BA;;1;289;10BA
277;AE0F;278;AE0F;287;FF70;0;000F;FF70;;1001;;
278;700;279;700;278;700;0;278;FF71;;1000;;
279;0C00;27A;0C00;7FF;FF71;7FF;279;FF71;;1000;7FF;FF71
27A;D666;666;D666;7FE;027B;7FE;D666;FF71;;1000;7FE;027B
666;AC01;667;AC01;7FF;FF71;7FE;1;FF71;;1000;;
667;F303;668;F303;667;F303;7FE;667;FF71;;1000;;
668;7E0A;669;7E0A;673;FCED;7FE;000A;FF71;;1;;
669;F201;66A;F201;669;F201;7FE;669;FF71;;1;;
66A;CE05;670;CE05;66A;670;7FE;5;FF71;;1;;
670;AE02;671;AE02;673;FCED;7FE;2;FCED;;1001;;
671;EC01;672;EC01;7FF;FCED;7FE;1;FCED;;1001;7FF;FCED
672;0A00;27B;0A00;7FE;027B;7FF;672;FCED;;1001;;
27B;800;27C;800;7FF;FCED;0;027B;FCED;;1001;;
27C;740;27D;740;27C;740;0;027C;FCEC;;1001;;
27D;4E0B;27E;4E0B;289;10BA;0;000B;0DA6;;1;;
27E;EE0A;27F;EE0A;289;0DA6;0;000A;0DA6;;1;289;0DA6
27F;AE08;280;AE08;288;1567;0;8;1567;;1;;
280;0C00;281;0C00;7FF;1567;7FF;280;1567;;1;7FF;1567
281;D666;666;D666;7FE;282;7FE;D666;1567;;1;7FE;282
666;AC01;667;AC01;7FF;1567;7FE;1;1567;;1;;
667;F303;66B;F303;667;F303;7FE;3;1567;;1;;
66B;500;66C;500;66B;1567;7FE;066B;2ACE;;0;;
66C;500;66D;500;66C;2ACE;7FE;066C;559C;;0;;
66D;4C01;66E;4C01;7FF;1567;7FE;1;6B03;;0;;
66E;4E05;66F;4E05;674;61;7FE;5;6B64;;0;;
66F;CE01;671;CE01;66F;671;7FE;1;6B64;;0;;
671;EC01;672;EC01;7FF;6B64;7FE;1;6B64;;0;7FF;6B64
672;0A00;282;0A00;7FE;282;7FF;672;6B64;;0;;
282;800;283;800;7FF;6B64;0;282;6B64;;0;;
283;6E05;284;6E05;289;0DA6;0;5;5DBE;;1;;
284;EE04;285;EE04;289;5DBE;0;4;5DBE;;1;289;5DBE
285;100;286;100;285;100;0;285;5DBE;;1;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
26F,0200,26F,0000,000,0000,000,0000,0000,004,0100;;;;;;;;;;;;
26F,0200,270,0200,26F,0200,000,026F,0000,004,0100;;;;;;;;;;;;
270,EE18,271,EE18,289,0000,000,0018,0000,004,0100,289,0000;;;;;;;;;;;;
271,AE14,272,AE14,286,0345,000,0014,0345,000,0000;;;;;;;;;;;;
272,0C00,273,0C00,7FF,0345,7FF,0272,0345,000,0000,7FF,0345;;;;;;;;;;;;
273,D666,666,D666,7FE,0274,7FE,D666,0345,000,0000,7FE,0274;;;;;;;;;;;;
666,AC01,667,AC01,7FF,0345,7FE,0001,0345,000,0000;;;;;;;;;;;;
667,F303,66B,F303,667,F303,7FE,0003,0345,000,0000;;;;;;;;;;;;
66B,0500,66C,0500,66B,0345,7FE,066B,068A,000,0000;;;;;;;;;;;;
66C,0500,66D,0500,66C,068A,7FE,066C,0D14,000,0000;;;;;;;;;;;;
66D,4C01,66E,4C01,7FF,0345,7FE,0001,1059,000,0000;;;;;;;;;;;;
66E,4E05,66F,4E05,674,0061,7FE,0005,10BA,000,0000;;;;;;;;;;;;
66F,CE01,671,CE01,66F,0671,7FE,0001,10BA,000,0000;;;;;;;;;;;;
671,EC01,672,EC01,7FF,10BA,7FE,0001,10BA,000,0000,7FF,10BA;;;;;;;;;;;;
672,0A00,274,0A00,7FE,0274,7FF,0672,10BA,000,0000;;;;;;;;;;;;
274,0800,275,0800,7FF,10BA,000,0274,10BA,000,0000;;;;;;;;;;;;
275,6E13,276,6E13,289,0000,000,0013,10BA,001,0001;;;;;;;;;;;;
276,EE12,277,EE12,289,10BA,000,0012,10BA,001,0001,289,10BA;;;;;;;;;;;;
277,AE0F,278,AE0F,287,FF70,000,000F,FF70,009,1001;;;;;;;;;;;;
278,0700,279,0700,278,0700,000,0278,FF71,008,1000;;;;;;;;;;;;
279,0C00,27A,0C00,7FF,FF71,7FF,0279,FF71,008,1000,7FF,FF71;;;;;;;;;;;;
27A,D666,666,D666,7FE,027B,7FE,D666,FF71,008,1000,7FE,027B;;;;;;;;;;;;
666,AC01,667,AC01,7FF,FF71,7FE,0001,FF71,008,1000;;;;;;;;;;;;
667,F303,668,F303,667,F303,7FE,0667,FF71,008,1000;;;;;;;;;;;;
668,7E0A,669,7E0A,673,FCED,7FE,000A,FF71,001,0001;;;;;;;;;;;;
669,F201,66A,F201,669,F201,7FE,0669,FF71,001,0001;;;;;;;;;;;;
66A,CE05,670,CE05,66A,0670,7FE,0005,FF71,001,0001;;;;;;;;;;;;
670,AE02,671,AE02,673,FCED,7FE,0002,FCED,009,1001;;;;;;;;;;;;
671,EC01,672,EC01,7FF,FCED,7FE,0001,FCED,009,1001,7FF,FCED;;;;;;;;;;;;
672,0A00,27B,0A00,7FE,027B,7FF,0672,FCED,009,1001;;;;;;;;;;;;
27B,0800,27C,0800,7FF,FCED,000,027B,FCED,009,1001;;;;;;;;;;;;
27C,0740,27D,0740,27C,0740,000,027C,FCEC,009,1001;;;;;;;;;;;;
27D,4E0B,27E,4E0B,289,10BA,000,000B,0DA6,001,0001;;;;;;;;;;;;
27E,EE0A,27F,EE0A,289,0DA6,000,000A,0DA6,001,0001,289,0DA6;;;;;;;;;;;;
27F,AE08,280,AE08,288,1567,000,0008,1567,001,0001;;;;;;;;;;;;
280,0C00,281,0C00,7FF,1567,7FF,0280,1567,001,0001,7FF,1567;;;;;;;;;;;;
281,D666,666,D666,7FE,0282,7FE,D666,1567,001,0001,7FE,0282;;;;;;;;;;;;
666,AC01,667,AC01,7FF,1567,7FE,0001,1567,001,0001;;;;;;;;;;;;
667,F303,66B,F303,667,F303,7FE,0003,1567,001,0001;;;;;;;;;;;;
66B,0500,66C,0500,66B,1567,7FE,066B,2ACE,000,0000;;;;;;;;;;;;
66C,0500,66D,0500,66C,2ACE,7FE,066C,559C,000,0000;;;;;;;;;;;;
66D,4C01,66E,4C01,7FF,1567,7FE,0001,6B03,000,0000;;;;;;;;;;;;
66E,4E05,66F,4E05,674,0061,7FE,0005,6B64,000,0000;;;;;;;;;;;;
66F,CE01,671,CE01,66F,0671,7FE,0001,6B64,000,0000;;;;;;;;;;;;
671,EC01,672,EC01,7FF,6B64,7FE,0001,6B64,000,0000,7FF,6B64;;;;;;;;;;;;
672,0A00,282,0A00,7FE,0282,7FF,0672,6B64,000,0000;;;;;;;;;;;;
282,0800,283,0800,7FF,6B64,000,0282,6B64,000,0000;;;;;;;;;;;;
283,6E05,284,6E05,289,0DA6,000,0005,5DBE,001,0001;;;;;;;;;;;;
284,EE04,285,EE04,289,5DBE,000,0004,5DBE,001,0001,289,5DBE;;;;;;;;;;;;
285,0100,286,0100,285,0100,000,0285,5DBE,001,0001;;;;;;;;;;;;
